,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,brightest_pix,max_loc-0,max_loc-1,max_loc-2,elongation,detection_size,n_vel,nx,ny,mos_name,max_loc,dist,nx_kpc,ny_kpc,file,overlap_areas,area_gts,hi_mass,true_positive_mocks,type,area_gt,overlap_area,tot_flux,peak_flux
37,38,545.0037593984962,874.7518796992481,539.3082706766917,535,872,536,556,878,543,266,4.394756317138672,18,2,3,1.222672064777328,882,162.31508539771752,6,7,1245mosE,"[553, 874, 539]",188.36047878072864,32.87510648295486,38.354291037414015,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,2289579465.3421946,False,,,,0.2992909933730504,0.027367520777589166
38,39,544.7213930348258,188.79004975124377,523.6497512437811,535,182,519,555,196,529,1005,5.698913097381592,14,6,6,2.661028876295237,2800,154.58579561687384,14,10,1245mosE,"[549, 188, 525]",188.48082670372585,76.7575961676332,54.82685292089971,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,9609693309.49221,True,real,1334.0,1005.0,1.2546310996088534,0.054376280588128975
39,40,544.1236842105263,9.928947368421053,606.2513157894737,534,5,603,555,16,611,760,4.333356857299805,2,6,3,1.6611907321124293,1848,162.31508539771752,11,8,1245mosE,"[536, 11, 606]",188.48082670372585,60.30953857021014,43.86148189135402,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,,True,real,1090.0,760.0,,
40,41,545.0184921763869,5.8193456614509245,1464.344238975818,535,2,1461,555,11,1469,703,3.205575466156006,5,5,5,1.2914184769709822,1440,154.58579561687384,9,8,1245mosE,"[540, 7, 1466]",188.36047878072864,49.31266035032797,43.83347565678088,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,,False,,,,,
41,42,540.8934337997847,795.1517761033369,487.5726587728741,533,790,483,550,802,493,929,3.9825828075408936,3,5,4,2.371042984883963,2040,131.39792627434275,12,10,1245mosE,"[536, 795, 487]",188.96228319028427,65.96028435038704,54.96690294316455,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,5239021592.194878,True,real,1305.0,929.0,0.6806664320791433,0.04048827470459795
42,43,534.5740011254924,383.2537985368599,160.9223410241981,522,376,157,550,391,166,1777,5.417263507843018,21,9,3,2.477291463223249,3780,216.42011386362336,15,9,1245mosE,"[543, 385, 160]",189.6846623614013,82.76555472389647,49.65933081739133,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,33629319196.203026,True,real,2229.0,1777.0,4.337388747456296,0.13657070295428644
43,44,542.4096385542168,154.93373493975903,568.5,537,152,566,547,160,572,166,3.579474925994873,4,3,3,1.9573181972864904,480,77.29289780843692,8,6,1245mosE,"[541, 155, 569]",188.72154198704487,43.91749888377132,32.93812390270002,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,2925598203.9913774,False,,,,0.38103017086452673,0.03642226131718107
44,45,537.6047297297297,400.9831081081081,14.31081081081081,532,398,12,545,405,18,296,3.804851055145264,10,4,1,2.167042715163706,546,100.480767150968,7,6,1245mosE,"[542, 402, 13]",189.32344360415425,38.55037162361518,33.043175556225314,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,,False,,,,,
45,46,537.8130841121496,314.8785046728972,527.0934579439253,532,313,526,544,318,529,107,3.913079023361206,9,2,1,3.0006377381593934,180,92.75147737012428,5,3,1245mosE,"[541, 315, 527]",189.32344360415425,27.53597954475505,16.521587652293565,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1376093249.8234076,True,mock,1304.0,107.0,0.17813268899777968,0.02258524245053914
46,47,528.4254062038405,864.0435745937962,913.6107828655836,517,859,908,540,870,920,1354,5.489850521087647,6,7,5,1.1740715835382551,3036,177.77366495940493,11,12,1245mosE,"[523, 866, 913]",190.407274962586,60.92595779758265,66.46468166489775,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,9882138482.089378,True,mock,1996.0,1299.0,1.265315685796924,0.04294215217432696
47,48,521.7668711656441,764.7668711656441,1313.8711656441717,517,762,1312,528,769,1317,163,3.4510109424591064,8,4,1,1.828125,385,85.02218758928062,7,5,1245mosE,"[525, 766, 1313]",191.2506181779469,38.94278629022469,27.81627573329301,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1310325913.7152615,True,mock,1487.0,163.0,0.16636133994925387,0.011059817876833864
48,49,497.5279777107035,382.8005572324124,672.4037613187834,471,375,659,525,392,685,8614,10.812902450561523,8,9,19,1.5986362289789402,23868,417.38164816555934,17,26,1245mosE,"[479, 384, 678]",194.1444963822173,96.00639626654366,146.8333279645993,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,75084827162.00468,True,mock,5962.0,5641.0,9.262803118747515,0.10178413693324918
49,50,518.2347826086957,676.3739130434783,788.0173913043478,515,673,786,523,680,791,115,3.014284133911133,1,5,4,2.999291178115465,280,61.83431824674954,7,5,1245mosE,"[516, 678, 790]",191.61214833876997,39.01640169562591,27.868858165366508,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,1068583594.3167568,False,,,,0.1351796700430512,0.009890377368799877
50,51,501.396897810219,16.150547445255473,443.9051094890511,488,12,439,516,22,449,1096,6.051347255706787,6,4,6,1.1555719231969224,2800,216.42011386362336,10,10,1245mosE,"[494, 16, 445]",193.66192340093653,56.33397293705632,56.33397293705632,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,55849682240.64673,True,mock,2203.0,1052.0,6.922755734299069,0.36482218436026903
51,52,496.0551447935921,160.84165126309304,1551.0837954405422,479,151,1543,513,169,1562,3246,6.133387088775635,24,8,4,1.3914195092466437,11628,262.7958525486855,18,19,1245mosE,"[503, 159, 1547]",194.2651558851862,101.71700951988002,107.36795561369534,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,26548236518.737038,True,real,4138.0,3246.0,3.2712194587817405,0.07888450738973317
52,53,492.0596683193708,329.0049581124979,84.88049239186185,475,319,75,509,340,96,5849,8.98708438873291,27,8,6,2.3256645304290333,14994,262.7958525486855,21,21,1245mosE,"[502, 327, 81]",194.7478589434366,118.96471491846182,118.96471491846182,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,,True,mock,4676.0,4174.0,,
53,54,502.6896551724138,110.4904214559387,922.9233716475096,498,107,920,509,115,927,261,3.814302682876587,6,4,2,1.5408864691719966,616,85.02218758928062,8,7,1245mosE,"[504, 111, 922]",193.54129641063705,45.03910671555076,39.40921820937448,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,5700714371.370679,True,mock,1157.0,261.0,0.7074656642130608,0.04426383983739428
54,55,485.3851666069509,460.332139018273,1467.011107130061,463,454,1461,508,466,1474,2791,4.987571239471436,38,7,10,1.3143621862400896,7020,347.81804013796614,12,13,1245mosE,"[501, 461, 1471]",195.5928398049238,68.27478538370993,73.96435135389947,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,19318563778.32986,True,mock,3582.0,2544.0,2.349580358425264,0.060532432125746626
55,56,490.3661290322581,167.25282258064516,172.14193548387098,473,160,165,507,175,180,2480,5.6572442054748535,7,8,8,1.4767793722640892,7650,262.7958525486855,15,15,1245mosE,"[480, 168, 173]",194.9892495077484,85.0801177058638,85.0801177058638,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,125507158344.12509,True,mock,2707.0,2036.0,15.355057831475179,0.4286942946981992
56,57,492.8163437236731,612.2139848357203,416.0741364785173,481,607,411,505,618,422,1187,6.694543838500977,6,4,4,1.2014908575626206,2904,185.50295474024855,11,11,1245mosE,"[487, 611, 415]",194.7478589434366,62.3148450472223,62.3148450472223,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,10904984348.296623,True,mock,1902.0,1140.0,1.3373255201189427,0.05678706570989859
57,58,494.3692660550459,529.7866972477065,1106.7385321100917,484,527,1104,505,534,1111,436,4.270406246185303,1,3,2,1.648372319703719,1029,162.31508539771752,7,7,1245mosE,"[485, 530, 1106]",194.50649440398456,39.60575351755169,39.60575351755169,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,2356694512.4704843,True,mock,2097.0,436.0,0.2896981507816516,0.02228502320142195
58,59,478.93940534437337,718.5425291682349,1298.5587128340233,454,712,1289,504,727,1309,5314,9.139789581298828,6,6,6,1.9132620638667817,15000,386.4644890421845,15,20,1245mosE,"[460, 718, 1295]",196.43813965149727,85.71231534898627,114.28309277291646,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,45114731396.61481,True,mock,4736.0,4261.0,5.441918778211128,0.08911027363625271
59,60,480.9165913881361,331.4555856669678,1121.7831978319782,465,320,1116,498,340,1129,3321,4.618419170379639,16,10,5,2.8632544009604444,8580,255.06656276784184,20,13,1245mosE,"[481, 330, 1121]",196.1965928495892,114.14256652062942,74.19266340443852,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,16783408250.507381,True,real,4119.0,3321.0,2.0292506785713758,0.05501662368339077
60,61,484.4835164835165,150.2783882783883,198.94322344322345,478,145,195,493,156,204,546,3.7401657104492183,3,7,4,1.5333617052527608,1485,115.93934671265538,11,9,1245mosE,"[481, 152, 199]",195.7135773919512,62.62385278576647,51.23769715573869,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,26686578191.00436,False,,,,3.2418712954968156,0.1745551159459524
61,62,478.2794793261869,94.92419601837672,414.6929555895865,467,90,410,491,102,420,1306,5.050877571105957,21,5,6,1.6225328369740817,2880,185.50295474024855,12,10,1245mosE,"[488, 95, 416]",196.43813965149727,68.56985071262098,57.14154155137149,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,24520803744.69972,True,real,1773.0,1306.0,2.9577971146942006,0.1283814313866621
62,63,474.52254641909815,396.0344827586207,867.3872679045093,464,393,864,487,400,873,377,3.446955442428589,17,5,4,1.6245703280068076,1449,177.77366495940493,7,9,1245mosE,"[481, 398, 868]",196.9213114225678,40.0974627940006,51.55388120045361,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,3078516015.5190196,True,mock,2144.0,377.0,0.36960256216748394,0.027578453671556726
63,64,469.620858609426,147.94423705086328,520.5989267382174,455,137,513,486,160,529,4286,6.318624019622803,6,13,7,2.1323887483156674,11408,239.60798320615444,23,16,1245mosE,"[461, 150, 520]",197.5254227434892,132.15300060806453,91.93251508327918,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,51786041307.20962,True,real,5094.0,4286.0,6.181058227735276,0.09858728287341616
64,65,464.00575916230366,310.8848167539267,794.1486910994764,444,306,789,482,317,801,1910,5.511177062988281,30,5,7,1.1475862712793543,5016,293.7130116720603,11,12,1245mosE,"[474, 311, 796]",198.12969702268785,63.396955613298125,69.16031566316546,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,13611041711.919695,True,mock,2852.0,1789.0,1.615122539450884,0.04563045344752977
65,66,462.70949494949497,38.09292929292929,743.8715151515152,448,31,738,479,47,751,2475,6.908797264099121,7,9,6,1.2457273849351136,6448,239.60798320615444,16,13,1245mosE,"[455, 40, 744]",198.3714523774554,92.32627519276394,75.01509675335308,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,121932202513.99211,True,mock,2572.0,2178.0,14.435113330515613,0.4042392529810498
66,67,466.1619644723093,287.85057471264366,465.7972831765935,453,283,461,478,294,471,957,4.810984611511231,10,4,4,1.5525736600741291,2750,193.23224452109227,11,10,1245mosE,"[463, 287, 465]",197.88796775179583,63.31960779473551,57.56327947244187,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,8317926882.487811,True,mock,1815.0,870.0,0.9893335259275391,0.04492856882741826
67,68,464.95697074010326,504.7521514629949,817.6678141135973,457,499,814,473,511,822,581,4.006669998168945,14,2,3,2.669255201995028,1536,123.66863649349908,12,8,1245mosE,"[471, 501, 817]",198.12969702268785,69.16031566316546,46.10687606840965,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,3185337347.6038337,True,real,1021.0,580.0,0.377980631810439,0.023136924478714273
68,69,441.1615460852329,315.3118599273208,400.300792864222,410,308,391,472,324,411,6054,8.230140686035156,54,5,6,1.365163545328009,19840,479.2159664123089,16,20,1245mosE,"[464, 313, 397]",200.9114594791524,93.50844829202944,116.88556511242142,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,56488656445.6859,True,mock,5433.0,4793.0,6.526857805330108,0.12213598494206925
69,70,460.4942857142857,546.1142857142858,722.3485714285714,451,542,719,471,550,726,350,3.722383499145508,7,4,4,1.4444444444444444,1120,154.58579561687384,8,7,1245mosE,"[458, 546, 723]",198.6132338203207,46.219400195473845,40.44197499993779,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,2339706612.7290025,True,real,701.0,350.0,0.27634526421397937,0.023453896862105382
70,71,456.6904761904762,89.4375,812.495701058201,443,81,806,470,98,820,3024,7.851961612701416,19,7,6,1.44657340735772,6426,208.69082408277967,17,14,1245mosE,"[462, 88, 812]",199.0968749872356,98.45539704521772,81.08091308687943,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,75718482415.03557,True,mock,2547.0,2377.0,8.901716090397201,0.1729284728528638
71,72,457.12984496124034,753.9050387596899,462.4612403100775,450,750,459,466,760,467,516,4.626380920410156,9,7,3,2.0690345668997807,1280,123.66863649349908,10,8,1245mosE,"[459, 757, 462]",198.97595490903925,57.8797621242491,46.30380922923434,data/sofia_output/sofia_loud_1245mosE_mask.fits,,,4935908155.145535,True,real,681.0,516.0,0.5809558972849473,0.03479849035928234
