,label,centroid-0,centroid-1,centroid-2,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,area,tot_flux,peak_flux,brightest_pix,max_loc,elongation,dist,nx,ny,n_vel,nx_kpc,ny_kpc,file,hi_mass,asymmetry,mos_name
10,11,85.72827891532927,1576.955174322081,2143.946319867184,72,1571,2139,101,1584,2150,1807,1810.8427734375,1810.8427734375,6.958135604858398,"[95, 1577, 2145]",2.4879342394956065,458.3891552610109,13,11,224.14940364446707,173.34201277693745,146.67400882550086,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
11,12,79.70786516853933,960.9625468164794,1173.9413233458176,74,955,1170,86,968,1179,801,278.3827209472656,278.3827209472656,2.3410732746124268,"[75, 964, 1174]",2.7556766575840146,459.2012134463882,13,9,92.75147737012428,173.64909639514642,120.2186022127322,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
12,13,89.7038560411311,184.93830334190235,466.9506426735218,75,179,463,106,192,472,1945,1055.083740234375,1055.083740234375,3.600015878677368,"[100, 185, 466]",2.4879342394956057,457.84793763625095,13,9,239.60798320615444,173.13734878925473,119.86431541744696,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
13,14,82.65989847715736,537.9197969543147,127.9502538071066,76,532,124,91,545,133,985,119.45863342285156,119.45863342285156,0.8315792083740234,"[85, 539, 128]",3.0928701533181164,458.7951495845177,13,9,115.93934671265538,173.49554143791246,120.11229493728575,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
14,15,86.67485955056179,1634.9487359550562,55.98525280898876,76,1629,53,98,1642,60,1424,-4.713562488555908,-4.713562488555908,2.3587982654571533,"[93, 1637, 55]",2.872881355932204,458.2538392697234,13,7,170.04437517856124,173.29084239905774,93.3104504412713,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
15,16,94.69504830917874,418.95350241545896,1923.955917874396,82,413,1920,109,426,1929,1656,238.52001953125,238.52001953125,1.0452837944030762,"[101, 418, 1924]",2.4879342394956057,457.17158934208527,13,9,208.69082408277967,172.88158450403256,119.68724783976504,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
16,17,91.69622093023256,823.9600290697674,1431.954215116279,82,818,1428,102,831,1437,1376,1402.940673828125,1402.940673828125,6.646718978881836,"[97, 824, 1431]",3.3703971610653936,457.57737515764654,13,9,154.58579561687384,173.0350343167483,119.79348232285447,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
17,18,92.70171339563863,1291.9345794392525,1254.9493769470405,83,1286,1251,103,1299,1260,1284,-144.33145141601562,-144.33145141601562,2.9936556816101074,"[99, 1293, 1255]",2.817831649677597,457.44210549947405,13,9,154.58579561687384,172.98388145995366,119.75806880749106,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
18,19,92.72863924050633,1457.9335443037974,365.9509493670886,83,1452,362,103,1465,370,1264,153.0191650390625,153.0191650390625,2.0585055351257324,"[100, 1463, 364]",2.872881355932204,457.44210549947405,13,8,154.58579561687384,172.98388145995366,106.45161620734451,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
19,20,99.731027857829,1670.9707012487993,1039.9649375600384,83,1665,1036,117,1678,1044,2082,558.5814208984375,558.5814208984375,1.7464702129364014,"[110, 1672, 1037]",2.5543478260869565,456.4954340116867,13,8,262.7958525486855,172.6258931889655,106.23131573941464,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
20,21,97.7335403726708,1303.9590062111802,1539.9645962732918,85,1298,1536,111,1311,1545,1610,551.9248046875,551.9248046875,2.4319279193878174,"[105, 1304, 1540]",2.4226950354609924,456.76587299348,13,9,200.961534301936,172.72816096057264,119.58103154308296,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
21,22,95.63810198300284,1752.915014164306,808.9461756373938,85,1747,805,107,1760,813,1412,284.46270751953125,284.46270751953125,2.0381548404693604,"[100, 1748, 811]",2.7181598062954,457.0363428415469,13,8,170.04437517856124,172.8304404044061,106.35719094518862,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
22,23,105.72042570609906,339.9447400736799,155.94719607040523,86,334,151,126,347,162,2443,3035.211669921875,3035.211669921875,6.727048397064209,"[93, 340, 155]",2.5543478260869565,455.68430221112897,13,11,309.1715912337477,172.31915988752868,145.80851793079557,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
23,24,92.7245337159254,662.9626972740316,2052.942611190818,88,657,2049,99,670,2058,697,152.60740661621094,152.60740661621094,1.5634424686431885,"[93, 663, 2053]",2.7556766575840146,457.44210549947405,13,9,85.02218758928062,172.98388145995366,119.75806880749106,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
24,25,93.67105263157896,732.9618421052631,2159.955263157895,88,727,2156,100,740,2165,760,89.93984985351562,89.93984985351562,1.6368768215179443,"[93, 732, 2160]",3.210144927536232,457.30684356117393,13,9,92.75147737012428,172.93273152246508,119.72265731318556,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
25,26,103.71242539338036,1545.953336950624,1554.954964731416,89,1540,1552,119,1553,1559,1843,113.7869873046875,113.7869873046875,1.377071976661682,"[105, 1546, 1555]",2.4226950354609924,455.95464862579286,13,7,231.8786934253108,172.4213926544409,92.84228521001562,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
26,27,96.72419354838708,380.9225806451613,1419.925806451613,92,375,1416,102,388,1425,620,124.9071044921875,124.9071044921875,1.5857309103012085,"[97, 381, 1419]",2.838549309228678,456.9011040588992,13,9,77.29289780843692,172.77929922333627,119.61643495488674,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
27,28,98.71210468920393,470.95528898582336,373.94765539803706,92,465,370,106,478,379,917,443.9961853027344,443.9961853027344,2.2135934829711914,"[99, 469, 374]",3.4250000000000003,456.6306496446295,13,9,108.21005693181168,172.67702561586572,119.54563015147228,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
28,29,97.72790294627384,646.9098786828423,1920.932409012132,93,641,1917,103,654,1926,577,132.19729614257812,132.19729614257812,1.762095928192139,"[99, 646, 1920]",2.3545684494700763,456.76587299348,13,9,77.29289780843692,172.72816096057264,119.58103154308296,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
29,30,114.69005596211797,130.97244941885492,2034.9685751183813,96,125,2032,134,138,2039,2323,219.086669921875,219.086669921875,1.160913348197937,"[118, 130, 2036]",2.5543478260869565,454.46812497765023,13,7,293.7130116720603,171.85925675255018,92.539596657704,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
30,31,109.6405269761606,1528.9416562107904,1253.9410288582185,97,1523,1250,123,1536,1258,1594,252.90565490722656,252.90565490722656,1.3694820404052734,"[110, 1533, 1252]",2.3610059854787067,455.14370191196656,13,8,200.961534301936,172.11472934442114,105.91675338285708,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
31,32,113.6606479022836,1086.9553903345725,2122.935209771641,99,1080,2119,129,1094,2128,1883,1951.79736328125,1951.79736328125,5.87182092666626,"[104, 1087, 2122]",2.5543478260869565,454.6032249511748,14,9,231.8786934253108,185.1342195785064,119.01485158294578,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
32,33,105.6998738965952,176.9861286254729,2004.9558638083229,100,171,2001,113,184,2010,793,209.0717010498047,209.0717010498047,2.240426540374756,"[105, 177, 2005]",3.083996555113793,455.68430221112897,13,9,100.480767150968,172.31915988752868,119.29787696108066,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
33,34,112.74164677804296,694.9701670644391,1035.956443914081,100,689,1032,127,702,1040,1676,252.00274658203125,252.00274658203125,1.6368943452835083,"[110, 696, 1037]",2.4226950354609924,454.73833263070856,13,8,208.69082408277967,171.96143704610924,105.82241966361276,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
34,35,113.6691386195094,1451.9515116942384,978.9537934968624,100,1446,975,128,1459,984,1753,448.1553649902344,448.1553649902344,1.65835440158844,"[116, 1451, 977]",2.5543478260869565,454.6032249511748,13,9,216.42011386362336,171.91034544229794,119.01485158294578,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
35,36,110.70680044593088,1021.9542920847268,1967.9308807134892,104,1016,1964,118,1029,1972,897,44.70319366455078,44.70319366455078,1.638877272605896,"[110, 1016, 1968]",3.316086737266768,455.0085711104454,13,8,108.21005693181168,172.06362899692166,105.8853070160964,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
36,37,146.9705556785477,932.4452069957936,2111.425060881116,106,927,2107,188,939,2117,4517,1715.8526611328125,1715.8526611328125,3.062609434127808,"[120, 929, 2111]",2.577561466711794,450.14899065675337,12,10,633.8017620291828,157.13165041438188,130.94304038693716,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
37,38,111.77888198757763,1401.9652173913043,1641.927950310559,106,1396,1638,119,1409,1646,805,87.3202896118164,87.3202896118164,1.2241095304489136,"[115, 1397, 1643]",3.210144927536232,454.8734480169125,13,8,100.480767150968,172.0125315642341,105.85386244306608,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
38,39,119.63967136150237,1505.9665492957747,2218.9530516431923,106,1500,2215,134,1513,2223,1704,196.2857208251953,196.2857208251953,1.833933711051941,"[116, 1505, 2219]",2.4226950354609924,453.7927406771128,13,8,216.42011386362336,171.6038570060478,105.6023704147072,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
39,40,119.72783251231527,241.94396551724137,1701.9402709359606,107,236,1698,133,249,1707,1624,802.91162109375,802.91162109375,2.8484199047088623,"[124, 242, 1701]",2.540189688695954,453.7927406771128,13,9,200.961534301936,171.6038570060478,118.802667286193,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
40,41,113.664,546.9653333333333,584.92,109,540,580,119,555,591,750,1676.669677734375,1676.669677734375,11.051807403564451,"[114, 547, 585]",2.725765902236063,454.6032249511748,15,11,77.29289780843692,198.35809402802116,145.46259802028356,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
41,42,126.74074074074076,514.9629629629629,870.9480375898287,113,509,867,142,522,876,1809,379.6863403320313,379.6863403320313,1.8758248090744016,"[120, 514, 871]",2.4879342394956057,452.8475261242658,13,9,224.14940364446707,171.2464196818527,118.5552106832769,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
42,43,124.73608382449248,861.9142108709889,2295.935166994106,113,856,2292,138,869,2301,1527,137.13455200195312,137.13455200195312,9.467334747314451,"[128, 863, 2298]",2.505414726437566,453.11754892797353,13,9,193.23224452109227,171.34853007376134,118.62590249130518,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
43,44,122.68607305936074,439.9566210045662,1574.933789954338,116,434,1571,130,447,1580,876,410.94287109375,410.94287109375,2.600532054901123,"[119, 437, 1575]",3.262979011594125,453.38760252673177,13,9,108.21005693181168,171.450652110963,118.69660236145924,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
44,45,125.77309562398705,957.9076175040518,2070.9481361426256,116,952,2067,136,965,2076,1234,74.72573852539062,74.72573852539062,3.1628005504608154,"[120, 964, 2072]",2.6569635336933946,452.98253367706826,13,9,154.58579561687384,171.29747342227014,118.59055557961167,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
45,46,128.69753086419752,139.89506172839506,1741.9351851851852,119,134,1738,140,147,1747,1296,464.3004760742188,464.3004760742188,2.300042629241944,"[122, 141, 1741]",2.5799793601651198,452.5775341103403,13,9,162.31508539771752,171.1443209332449,118.48452693599512,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
46,47,132.7605872388481,541.953133822699,1763.940146809712,119,536,1760,148,549,1769,1771,287.9747009277344,287.9747009277344,2.125554084777832,"[123, 537, 1763]",2.4879342394956057,452.0376424307765,13,9,224.14940364446707,170.94015835796793,118.3431836181578,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
47,48,129.73811320754717,453.9509433962264,486.9750943396226,120,448,483,141,461,491,1325,78.30477905273438,78.30477905273438,2.124201536178589,"[134, 455, 487]",2.3,452.442549647901,13,8,162.31508539771752,171.09327592455676,105.28816668155648,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
48,49,128.6838174273859,569.9576763485477,1929.949377593361,120,564,1926,139,577,1935,1205,749.6361083984375,749.6361083984375,3.265681743621826,"[124, 570, 1930]",3.1201037005924617,452.5775341103403,13,9,146.85650583603015,171.1443209332449,118.48452693599512,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
49,50,124.7379767827529,1446.003316749585,697.9402985074627,120,1440,694,130,1453,703,603,-298.385009765625,-298.385009765625,7.405907154083252,"[125, 1446, 698]",2.3061619377300278,453.11754892797353,13,9,77.29289780843692,171.34853007376134,118.62590249130518,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
50,51,130.76497695852535,442.9485407066052,781.9546850998464,121,437,778,142,450,786,1302,770.0028076171875,770.0028076171875,2.70574164390564,"[127, 443, 783]",2.5799793601651198,452.3075728809323,13,8,162.31508539771752,171.042233825947,105.25675616026535,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
51,52,138.8096964204803,1087.468509288627,545.4644313547802,121,1082,542,157,1094,550,2207,-17.0938720703125,-17.0938720703125,5.592874050140381,"[137, 1091, 543]",3.5430463576158937,451.2280357031904,12,8,278.2544321103729,157.5083082155484,105.00553644099384,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
52,53,130.67423230974632,1353.9746328437918,899.9719626168225,125,1348,896,137,1361,905,749,1128.9588623046875,1128.9588623046875,5.736138820648193,"[132, 1355, 900]",3.210144927536232,452.3075728809323,13,9,92.75147737012428,171.042233825947,118.41385124808158,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
53,54,142.7052205220522,640.435193519352,609.4419441944194,126,635,605,161,647,615,2222,2449.681396484375,2449.681396484375,5.684365749359131,"[129, 640, 611]",3.5430463576158937,450.6884516845943,12,10,270.5251423295292,157.31995784902747,131.09996324719435,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
54,55,138.69183253260124,1627.4763212079615,291.4255319148936,128,1621,288,150,1634,296,1457,232.82525634765625,232.82525634765625,0.8039430379867554,"[146, 1627, 291]",2.6516670544198613,451.2280357031904,13,8,170.04437517856124,170.63400177004075,105.00553644099384,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
55,56,138.72994350282485,602.387570621469,137.47118644067797,133,596,134,146,610,142,885,218.7234649658203,218.7234649658203,1.60521399974823,"[137, 602, 138]",2.524213746672697,451.2280357031904,14,8,100.480767150968,183.75969561330027,105.00553644099384,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
56,57,146.71592356687898,1309.3891719745222,981.436305732484,135,1303,978,159,1316,986,1570,-346.2119140625,-346.2119140625,3.683424472808838,"[139, 1308, 982]",2.322819840110445,450.14899065675337,13,8,185.50295474024855,170.22595581589974,104.75443124588216,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
57,58,144.7483660130719,858.4673202614379,1373.4444444444443,141,852,1369,150,866,1378,612,862.381591796875,862.381591796875,9.764814376831056,"[145, 858, 1373]",2.7610567678287765,450.41870579945737,14,9,69.56360802759322,183.43010125082023,117.91934697925288,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
58,59,149.70177165354332,547.4340551181102,1025.4271653543308,142,541,1021,158,554,1030,1016,386.3602294921875,386.3602294921875,2.267970561981201,"[146, 547, 1026]",2.47497493315508,449.7444755732613,13,9,123.66863649349908,170.07298653648644,117.74283391049478,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
59,60,149.76344086021504,805.4480286738351,2089.447132616488,142,799,2086,159,812,2094,1116,562.3555908203125,562.3555908203125,2.194730043411255,"[146, 805, 2089]",2.5542886320291256,449.7444755732613,13,8,131.39792627434275,170.07298653648644,104.6602963074926,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
60,61,147.11510791366908,1221.1151079136691,1853.390887290168,142,1216,1851,152,1228,1856,417,639.6295166015625,639.6295166015625,4.212887763977051,"[149, 1221, 1853]",5.460386470348427,450.01414461217087,12,5,77.29289780843692,157.08458026210587,65.45190624569473,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
61,62,162.65994962216624,240.4498740554156,2220.4498740554154,147,235,2216,179,247,2225,1985,622.2762451171875,622.2762451171875,1.812938570976257,"[152, 241, 2220]",3.5430463576158937,447.9923756123082,12,9,247.33727298699816,156.37884970111634,117.28413519177428,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
62,63,159.70273224043717,596.4475409836066,808.427868852459,147,590,804,174,604,813,1830,1561.9693603515625,1561.9693603515625,4.224550724029541,"[150, 597, 809]",2.3650002629162143,448.39659121313787,14,9,208.69082408277967,182.6066081797432,117.38995859358894,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
63,64,157.71394611727416,366.43264659271,326.4580031695721,148,360,322,168,373,331,1262,663.6712036132812,663.6712036132812,3.014102935791016,"[152, 367, 326]",2.639575971731449,448.66610665807445,13,9,154.58579561687384,169.66519626455445,117.4605175753953,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
64,65,162.7533372025537,1384.4242600116077,41.41903656413233,149,1379,38,177,1391,46,1723,53.76601791381836,53.76601791381836,0.7702336311340332,"[173, 1388, 42]",2.7572888728050207,447.9923756123082,12,8,216.42011386362336,156.37884970111634,104.2525641150294,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
65,66,161.72647914645975,1545.462657613967,268.4384093113482,154,1539,265,170,1553,273,1031,244.4415740966797,244.4415740966797,1.2437033653259275,"[166, 1545, 269]",2.4749749331550803,448.1271064712491,14,8,123.66863649349908,182.49686226365725,104.28391741092156,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
66,67,174.23519804001634,42.43854634544712,359.4520212331564,155,37,355,195,49,365,2449,2178.8564453125,2178.8564453125,4.315544605255127,"[189, 42, 360]",3.345589418642686,446.37620367355225,12,10,309.1715912337477,155.81469923235795,129.84558108220372,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
67,68,174.21507064364206,956.4484563055992,785.4610151753009,161,949,781,188,965,791,1911,4610.30224609375,4610.30224609375,10.158989906311035,"[181, 955, 786]",2.3494405968871037,446.37620367355225,16,10,208.69082408277967,207.75293887271727,129.84558108220372,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
68,69,171.18669871794873,1118.4383012820513,2257.44391025641,162,1112,2254,181,1125,2262,1248,328.8822937011719,328.8822937011719,2.0659215450286865,"[176, 1119, 2257]",2.639575971731449,446.7801431239424,13,8,146.85650583603015,168.9520102930316,103.97046479348862,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
69,70,171.21608527131784,1227.4486434108528,814.4670542635658,164,1221,811,180,1234,819,1032,361.51861572265625,361.51861572265625,2.759967565536499,"[164, 1227, 812]",2.397624531327485,446.7801431239424,13,8,123.66863649349908,168.9520102930316,103.97046479348862,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
70,71,171.1984829329962,480.4007585335019,1549.4589127686472,166,474,1546,178,488,1554,791,31.52133178710937,31.52133178710937,0.6130625605583191,"[173, 480, 1551]",2.4493898140843213,446.7801431239424,14,8,92.75147737012428,181.9483201627268,103.97046479348862,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
71,72,183.12816764132555,230.44054580896687,160.44931773879142,167,224,157,201,238,165,2052,282.08544921875,282.08544921875,4.072650909423828,"[200, 230, 161]",3.138962080421584,445.1647992120459,14,8,262.7958525486855,181.2904818147653,103.59455718007747,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
72,73,178.18927701056052,1728.4386677497969,1747.4354183590576,169,1722,1744,188,1735,1752,1231,603.8614501953125,603.8614501953125,2.646347999572754,"[186, 1728, 1744]",2.6699772541480806,445.8377250596988,13,8,146.85650583603015,168.59563047414102,103.7511541422048,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
73,74,185.1995719636169,1030.4515783841628,1808.40556447298,171,1024,1805,201,1038,1813,1869,499.85345458984375,499.85345458984375,1.8766975402832031,"[174, 1032, 1809]",3.06508493353028,444.8956824978642,14,8,231.8786934253108,181.1808857755799,103.5319308743032,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
74,75,181.2280887011616,1519.439281942978,1048.4445617740232,174,1513,1045,189,1526,1053,947,349.421875,349.421875,1.4711809158325195,"[185, 1519, 1049]",2.397624531327485,445.4339465663988,13,8,115.93934671265538,168.44293973976968,103.6571906161437,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
75,76,189.15064758009544,264.4737559645535,205.4451261077028,178,259,202,201,271,210,1467,304.4228515625,304.4228515625,4.351764678955078,"[200, 267, 204]",3.06508493353028,444.3575409690896,12,8,177.77366495940493,155.11005297308412,103.40669964876086,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
76,77,184.1863354037267,667.4571428571429,503.455900621118,178,661,500,191,675,508,805,221.28646850585935,221.28646850585935,4.645808219909668,"[187, 663, 506]",2.7050104248110505,445.0302370252605,14,8,100.480767150968,181.2356822355543,103.56324313597987,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
77,78,189.16918429003024,1439.47029204431,1799.4924471299094,182,1433,1796,197,1447,1804,993,935.5523071289062,935.5523071289062,2.796158790588379,"[186, 1439, 1800]",2.325301204819277,444.3575409690896,14,8,115.93934671265538,180.96173112272152,103.40669964876086,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
78,79,193.18901303538172,177.45065176908753,286.44320297951583,185,171,283,202,185,291,1074,576.6236572265625,576.6236572265625,5.539605617523193,"[200, 181, 284]",2.5542886320291256,443.81952193823633,14,8,131.39792627434275,180.7426263563484,103.2814969297805,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
79,80,209.2034632034632,1390.44227994228,701.4545454545455,199,1384,698,221,1397,706,1386,271.9622802734375,271.9622802734375,2.795560598373413,"[215, 1391, 698]",2.400966319062739,441.668669957868,13,8,170.04437517856124,167.01908269931894,102.780970924893,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
80,81,209.26538461538465,963.4358974358976,1636.448717948718,203,957,1633,216,971,1641,780,277.3148498535156,277.3148498535156,1.6156866550445557,"[214, 967, 1635]",2.5697414267375747,441.668669957868,14,8,100.480767150968,179.86670581518385,102.780970924893,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
81,82,214.260778128286,967.0073606729758,1552.9337539432177,208,961,1549,222,974,1558,951,-167.11839294433594,-167.11839294433594,1.7854721546173096,"[219, 963, 1554]",3.262979011594125,440.9969301003824,13,9,108.21005693181168,166.76506111607983,115.45273175320902,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
82,83,221.1836734693877,474.95670995671,756.9666048237477,209,469,753,234,482,761,1617,58.47675323486328,58.47675323486328,3.3539226055145264,"[231, 480, 755]",2.6569635336933946,440.05681515338057,13,8,193.23224452109227,166.40955223179526,102.40587526367942,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
83,84,238.10526315789477,824.9415204678363,950.929174788824,212,818,947,265,833,956,3078,821.4285888671875,821.4285888671875,4.401922225952148,"[221, 825, 951]",2.4968632827652404,437.77523600037387,15,9,409.6523583847157,191.0154980423372,114.60929417047002,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
84,85,227.25851197982345,1630.9192938209333,499.9791929382093,215,1625,497,240,1638,504,1586,52.71613311767578,52.71613311767578,1.9937987327575684,"[218, 1626, 502]",2.6569635336933946,439.251300124589,13,7,193.23224452109227,166.10494293899188,89.44112009373715,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
85,86,230.18514472965592,1114.9557618787549,1826.9371927908248,217,1108,1822,245,1123,1833,1831,1520.446533203125,1520.446533203125,7.641496181488037,"[238, 1112, 1825]",2.670048323886994,438.8486456420193,15,11,216.42011386362336,191.48386139512897,140.42149423736936,data/training/TargetBoth/mask_1245mosH.fits,0.0,,1245mosH
